house_id,sqft_living,bedrooms,bathrooms,year_built,neighborhood,garage_spaces,has_pool,price
HOUSE_00043,1221,3,1.0,1963,Suburb,1,No,336529.03
HOUSE_00044,2301,5,4.0,2004,Suburb,1,Yes,561125.6
HOUSE_00045,3011,1,1.5,1997,SouthHills,0,No,713248.6
HOUSE_00046,1948,4,1.0,1979,Suburb,0,No,431298.02
HOUSE_00047,2358,3,3.0,2008,Downtown,2,No,789274.17
HOUSE_00048,1761,3,3.0,1982,SouthHills,0,No,517050.91
HOUSE_00049,1702,4,1.0,1996,WestEnd,0,No,361317.72
HOUSE_00050,2870,4,2.5,2021,Northside,1,No,684578.2
HOUSE_00051,3927,3,2.5,2006,Northside,0,No,791179.02
HOUSE_00052,3048,4,1.5,1967,SouthHills,1,No,771920.65
HOUSE_00053,3580,2,3.5,2016,WestEnd,0,No,616629.63
HOUSE_00054,2717,4,1.5,1996,Northside,1,No,627340.81
HOUSE_00055,3838,1,2.0,2015,SouthHills,2,No,919784.15
HOUSE_00056,2628,1,3.5,2004,Suburb,2,No,565163.86
HOUSE_00057,3392,2,4.0,1992,Downtown,1,No,969717.82
HOUSE_00058,3621,4,2.0,1992,WestEnd,0,Yes,629483.1
HOUSE_00059,1093,1,1.5,1966,Northside,2,No,353096.48
HOUSE_00060,4423,5,3.5,2022,Downtown,1,No,1251558.84
HOUSE_00061,2317,4,3.5,1981,SouthHills,0,Yes,671184.27
HOUSE_00062,4341,2,2.0,1964,Northside,2,No,816747.73
HOUSE_00063,1360,4,1.0,2005,Downtown,3,No,591649.12
HOUSE_00064,2128,3,2.5,1974,Suburb,1,No,454932.48
HOUSE_00065,4220,3,3.5,1980,WestEnd,0,No,667502.76
HOUSE_00066,1854,1,4.0,2021,SouthHills,2,No,645344.89
HOUSE_00067,768,3,4.0,1984,Northside,0,No,343765.76
HOUSE_00068,4116,2,3.5,1976,Suburb,2,No,746335.64
HOUSE_00069,3509,1,2.0,2015,WestEnd,1,No,566120.43
HOUSE_00070,1019,2,3.5,2009,WestEnd,1,No,301452.78
HOUSE_00071,2924,2,2.0,1966,Suburb,1,No,569835.47
HOUSE_00072,1283,3,1.0,2013,Northside,3,No,419089.14
HOUSE_00073,4300,3,4.0,2017,WestEnd,2,No,743523.31
HOUSE_00074,2564,2,3.5,2009,SouthHills,1,No,720589.69
HOUSE_00075,1883,3,3.0,2019,Downtown,2,Yes,755372.78
HOUSE_00076,1281,3,1.5,2020,SouthHills,2,No,460729.91
HOUSE_00077,4396,3,4.0,1978,WestEnd,2,No,684859.87
HOUSE_00078,2467,4,1.0,2011,Downtown,2,No,777367.48
HOUSE_00079,2256,2,3.0,1966,Suburb,0,Yes,472893.89
HOUSE_00080,3906,5,4.0,1999,Downtown,1,Yes,1200043.84
HOUSE_00081,2498,2,1.0,2004,Downtown,3,No,751312.82
HOUSE_00082,810,1,2.5,2018,Downtown,3,Yes,491715.94
HOUSE_00083,1698,3,1.0,2009,WestEnd,0,No,340604.43
HOUSE_00084,1457,3,1.0,1983,Northside,1,No,398003.87
HOUSE_00085,982,5,2.5,1970,WestEnd,3,No,326993.12
HOUSE_00086,4291,1,3.5,2000,Northside,1,No,895779.06
HOUSE_00087,2442,4,1.5,2014,Suburb,2,No,529109.44
HOUSE_00088,2941,2,3.0,1960,Suburb,1,No,557162.14
HOUSE_00089,3714,4,4.0,2013,Suburb,2,Yes,789173.7
HOUSE_00090,1770,1,2.0,1991,Suburb,1,No,359461.06
HOUSE_00091,3725,5,1.5,1999,Suburb,1,No,722492.5
HOUSE_00092,3089,1,4.0,2012,SouthHills,1,No,792310.63
HOUSE_00093,4013,5,1.0,2003,WestEnd,3,Yes,713424.1
HOUSE_00094,3269,4,2.0,2022,Northside,2,Yes,794715.22
HOUSE_00095,2093,4,2.5,1961,Suburb,2,No,444633.07
HOUSE_00096,1500,1,1.5,1974,SouthHills,1,No,442713.71
HOUSE_00097,3650,1,3.5,1980,SouthHills,3,No,926157.07
HOUSE_00098,830,3,3.0,1983,SouthHills,2,No,415411.06
HOUSE_00099,1993,5,1.5,2009,WestEnd,2,No,431830.4
HOUSE_00100,2663,3,1.5,1976,Suburb,3,No,529415.62
HOUSE_00101,3561,2,3.5,2006,SouthHills,1,No,913444.2
HOUSE_00102,760,2,2.0,2011,SouthHills,2,No,374042.49
HOUSE_00103,2911,1,2.5,2011,Suburb,3,No,615585.54
HOUSE_00104,2248,4,3.5,1968,WestEnd,2,No,490608.03
HOUSE_00105,971,2,4.0,1994,SouthHills,2,No,482649.99
HOUSE_00106,4491,2,2.5,1979,Northside,0,Yes,907007.12
HOUSE_00107,2481,3,3.5,1978,Downtown,2,No,796722.13
HOUSE_00108,2880,3,1.5,1977,Downtown,1,Yes,853791.65
HOUSE_00109,1967,2,2.5,1979,Downtown,1,Yes,702567.85
HOUSE_00110,3745,1,2.0,1989,WestEnd,2,No,625048.33
HOUSE_00111,2157,3,2.0,1999,SouthHills,1,No,589670.46
HOUSE_00112,737,2,3.0,1960,Downtown,1,No,447938.35
HOUSE_00113,2594,4,2.5,1983,Downtown,2,No,828662.57
HOUSE_00114,4339,3,3.0,1983,Suburb,1,No,789186.36
HOUSE_00115,2042,2,4.0,2006,SouthHills,0,No,607484.9
HOUSE_00116,4281,5,3.5,1978,SouthHills,1,No,1039319.82
HOUSE_00117,4147,3,1.0,1989,Suburb,0,No,677177.26
HOUSE_00118,4331,5,4.0,1985,SouthHills,1,Yes,1144215.74
HOUSE_00119,3364,3,2.0,2001,Northside,0,No,709720.68
HOUSE_00120,1173,3,1.5,2003,WestEnd,1,No,298157.92
HOUSE_00121,758,5,2.0,2019,Suburb,1,Yes,343814.46
HOUSE_00122,3336,1,1.0,1997,Downtown,1,No,839181.1
HOUSE_00123,2663,2,1.5,1988,SouthHills,3,No,699943.81
HOUSE_00124,3246,1,2.5,1972,Northside,1,Yes,708266.2
HOUSE_00125,3989,1,2.5,1963,Northside,2,No,824334.0
HOUSE_00126,2618,2,4.0,2004,WestEnd,1,No,482878.21
HOUSE_00127,3314,4,2.0,1976,Northside,2,No,733052.98
HOUSE_00128,3314,1,1.5,2021,SouthHills,2,No,814226.93
HOUSE_00129,3900,1,3.5,1992,SouthHills,1,No,924567.04
HOUSE_00130,1603,1,1.5,1964,Northside,1,No,400910.61
HOUSE_00131,1082,4,3.0,1987,SouthHills,1,No,453745.68
HOUSE_00132,2111,3,1.0,1983,SouthHills,2,Yes,640312.32
HOUSE_00133,784,5,4.0,1976,Downtown,1,No,536109.23
HOUSE_00134,2233,5,2.5,2009,Suburb,2,No,561595.0
HOUSE_00135,4497,4,2.0,1998,SouthHills,1,No,1047239.94
HOUSE_00136,3374,1,1.5,2007,SouthHills,0,No,729581.78
HOUSE_00137,4208,5,2.5,1999,WestEnd,2,No,716184.16
HOUSE_00138,3573,4,2.0,2003,Suburb,2,Yes,714989.59
HOUSE_00139,3040,2,2.5,2005,Suburb,1,No,570768.87
HOUSE_00140,3820,5,2.0,2010,Suburb,2,No,725070.17
HOUSE_00141,1790,2,2.5,1970,Northside,1,No,452439.97
HOUSE_00142,3534,1,3.5,1971,Downtown,2,No,969905.44
HOUSE_00143,828,5,3.0,1972,Downtown,2,Yes,525484.7
HOUSE_00144,2776,4,1.0,1967,WestEnd,2,No,492690.57
HOUSE_00145,4114,3,2.5,1960,Suburb,0,No,756189.74
HOUSE_00146,2268,5,1.0,1968,Suburb,1,No,479748.88
HOUSE_00147,3890,5,2.5,1987,SouthHills,2,No,962994.4
HOUSE_00148,1391,5,4.0,1961,Northside,0,No,447103.8
HOUSE_00149,2660,5,1.5,1973,Northside,2,No,652631.24
HOUSE_00150,4434,4,3.0,1972,WestEnd,1,No,748998.08
HOUSE_00151,832,4,4.0,2007,Downtown,1,No,504543.2
HOUSE_00152,4098,3,3.5,1961,Suburb,2,No,714769.61
HOUSE_00153,1908,4,3.0,1963,WestEnd,1,No,439261.39
HOUSE_00154,4277,4,1.0,1971,Northside,3,Yes,953100.58
HOUSE_00155,1345,1,1.5,2007,Northside,2,Yes,438001.06
HOUSE_00156,3436,1,2.0,1969,Northside,2,No,716743.98
HOUSE_00157,3281,2,4.0,1962,Suburb,0,No,619024.06
HOUSE_00158,4012,3,3.0,1963,Suburb,3,No,757229.37
HOUSE_00159,2312,1,3.5,1965,Suburb,2,No,500847.49
HOUSE_00160,4487,3,4.0,1982,SouthHills,1,No,1075318.76
HOUSE_00161,1215,3,1.5,1964,Downtown,1,No,457598.43
HOUSE_00162,2745,5,1.5,2009,Northside,1,No,671378.51
HOUSE_00163,2563,3,1.0,1962,Northside,3,No,593130.56
HOUSE_00164,3707,5,3.5,1969,SouthHills,2,No,951163.11
HOUSE_00165,2912,2,1.5,2002,Northside,3,Yes,697604.48
HOUSE_00166,3674,2,1.5,1978,Northside,2,No,747344.45
HOUSE_00167,1632,2,2.0,1973,Suburb,1,No,378350.23
HOUSE_00168,2363,5,1.0,1980,Suburb,1,No,509645.79
HOUSE_00169,1256,5,1.0,2019,Downtown,1,No,560042.77
HOUSE_00170,3989,2,3.5,2002,Northside,1,Yes,867797.95
HOUSE_00171,2371,5,1.5,1987,WestEnd,1,No,469181.05
HOUSE_00172,3427,4,2.0,1980,Northside,3,No,788655.25
HOUSE_00173,1692,4,2.5,1995,Northside,3,No,545947.93
HOUSE_00174,2328,5,3.0,1983,Downtown,1,No,795675.49
HOUSE_00175,3776,5,4.0,2013,WestEnd,2,No,702915.28
HOUSE_00176,2391,1,1.0,1997,Northside,2,No,533878.8
HOUSE_00177,1456,1,2.0,1976,WestEnd,1,No,351398.56
HOUSE_00178,1804,3,3.5,1981,Suburb,2,No,456802.99
HOUSE_00179,1970,3,2.0,1978,Suburb,1,No,458891.33
HOUSE_00180,3602,3,1.5,2004,WestEnd,3,No,600926.33
HOUSE_00181,3240,2,3.0,2013,Northside,2,No,748255.57
HOUSE_00182,1348,4,1.0,1969,WestEnd,2,No,326710.64
HOUSE_00183,2109,2,2.5,2020,WestEnd,1,No,432171.65
HOUSE_00184,4346,5,1.5,1970,Suburb,1,No,754653.95
HOUSE_00185,1691,1,1.0,2020,WestEnd,1,Yes,362938.96
HOUSE_00186,2030,5,4.0,1997,SouthHills,2,Yes,724683.26
HOUSE_00187,1327,5,3.5,1961,SouthHills,3,No,573850.23
HOUSE_00188,3372,1,1.0,1992,Suburb,1,No,568517.88
HOUSE_00189,3290,5,2.0,2002,Northside,2,No,776166.2
HOUSE_00190,2754,3,4.0,1990,Northside,1,Yes,706306.46
HOUSE_00191,2649,1,3.0,2007,Suburb,1,No,566680.31
HOUSE_00192,1653,5,2.5,1994,Northside,2,Yes,572782.17
HOUSE_00193,3262,3,3.0,1996,Downtown,2,No,981856.95
HOUSE_00194,2542,3,2.0,2006,SouthHills,1,Yes,712212.01
HOUSE_00195,3502,4,2.5,2006,Downtown,1,No,994491.47
HOUSE_00196,4339,3,2.5,1995,Downtown,1,Yes,1171670.77
HOUSE_00197,2820,2,1.5,1982,Downtown,1,Yes,836522.06
HOUSE_00198,709,1,2.5,1995,Suburb,3,No,289641.37
HOUSE_00199,2296,1,1.0,1999,Downtown,2,Yes,693430.8
HOUSE_00200,3309,1,3.0,1998,WestEnd,0,No,528946.66
HOUSE_00201,821,5,3.5,1985,Northside,1,No,422348.49
HOUSE_00202,1386,5,3.5,1984,Suburb,3,Yes,474788.12
HOUSE_00203,2709,2,3.0,1976,WestEnd,2,No,495015.3
HOUSE_00204,3260,3,1.5,1974,WestEnd,2,No,545493.03
HOUSE_00205,3737,5,2.5,1996,SouthHills,0,No,948842.12
HOUSE_00206,1140,3,2.0,2004,SouthHills,2,No,444271.25
HOUSE_00207,3809,3,4.0,1963,WestEnd,1,Yes,661179.5
HOUSE_00208,3449,5,4.0,1981,SouthHills,2,No,942459.18
HOUSE_00209,1290,5,1.0,1976,Northside,3,Yes,444633.62
HOUSE_00210,2068,2,1.5,1981,Northside,0,No,480288.77
HOUSE_00211,2689,4,4.0,1976,SouthHills,1,No,811732.44
HOUSE_00212,2061,1,2.5,1973,Downtown,0,Yes,636025.86
HOUSE_00213,4473,5,3.5,1973,WestEnd,1,No,741530.72
HOUSE_00214,1907,5,2.0,1976,Northside,1,No,492789.69
HOUSE_00215,2814,3,2.5,1967,SouthHills,3,No,758074.57
HOUSE_00216,2764,4,1.5,1993,SouthHills,1,Yes,743736.26
HOUSE_00217,2106,5,2.0,1985,Northside,2,No,572641.23
HOUSE_00218,3115,4,4.0,2004,Northside,2,No,779981.0
HOUSE_00219,3651,1,2.0,1989,Downtown,3,Yes,990032.21
HOUSE_00220,2039,3,2.0,1981,SouthHills,1,No,595538.62
HOUSE_00221,2220,2,2.0,1975,SouthHills,1,No,586339.07
HOUSE_00222,3468,1,4.0,1989,Suburb,0,No,617230.84
HOUSE_00223,4116,4,2.5,1975,Downtown,0,No,1100924.67
HOUSE_00224,3705,4,2.0,1997,Northside,2,No,798014.65
HOUSE_00225,2276,1,2.5,2013,Northside,0,No,531524.91
HOUSE_00226,1607,4,2.0,1983,WestEnd,1,No,353934.72
HOUSE_00227,3736,2,2.0,1995,Northside,0,No,763497.91
HOUSE_00228,3220,2,1.5,1994,SouthHills,2,No,790331.44
HOUSE_00229,814,4,2.5,1965,Northside,1,No,347331.83
HOUSE_00230,2847,4,3.5,1963,SouthHills,0,No,749842.75
HOUSE_00231,3185,2,2.5,1977,SouthHills,1,No,778224.55
HOUSE_00232,2068,4,3.0,1965,Downtown,2,No,727717.15
HOUSE_00233,3096,5,4.0,1985,Northside,2,No,777556.07
HOUSE_00234,838,3,3.5,1996,Downtown,1,Yes,534439.84
HOUSE_00235,1527,5,1.5,1986,SouthHills,2,Yes,589709.19
HOUSE_00236,3071,4,2.5,2000,Northside,0,No,723850.37
HOUSE_00237,1545,4,1.5,1970,Northside,0,No,454791.35
HOUSE_00238,4073,3,3.5,1997,Downtown,0,No,1100575.54
HOUSE_00239,3041,4,1.5,2021,Downtown,1,No,908901.19
HOUSE_00240,2680,3,1.5,1975,SouthHills,2,No,708167.45
HOUSE_00241,2252,2,1.0,1978,SouthHills,0,No,591731.73
HOUSE_00242,3715,3,2.5,2002,Northside,2,Yes,810022.58
HOUSE_00243,2015,3,1.5,2012,Northside,1,No,516929.9
HOUSE_00244,773,5,1.0,1974,Suburb,3,No,317290.33
HOUSE_00245,1183,4,1.0,1985,Suburb,2,No,354273.29
HOUSE_00246,715,2,2.0,2015,WestEnd,2,No,256042.5
HOUSE_00247,2249,1,2.0,2000,SouthHills,2,No,587399.99
HOUSE_00248,2059,3,4.0,2015,WestEnd,3,No,470049.96
HOUSE_00249,3540,1,3.5,1990,WestEnd,3,No,619551.69
HOUSE_00250,2596,4,2.5,1978,Downtown,1,No,798534.28
HOUSE_00251,3263,3,2.0,2016,Downtown,1,No,928213.03
HOUSE_00252,3672,1,3.5,2010,Suburb,1,No,714773.89
HOUSE_00253,1850,5,2.5,1983,WestEnd,1,No,411011.21
HOUSE_00254,3571,1,3.5,2017,Suburb,1,No,667335.12
HOUSE_00255,3265,5,4.0,1968,SouthHills,1,No,888620.11
HOUSE_00256,828,2,4.0,1982,Northside,3,No,392487.7
HOUSE_00257,1210,4,1.0,1963,Downtown,1,Yes,517483.12
HOUSE_00258,1122,1,1.0,1969,SouthHills,2,No,382802.61
HOUSE_00259,3132,3,2.5,2022,SouthHills,1,No,799178.82
HOUSE_00260,2606,4,3.5,1968,Downtown,2,Yes,876794.31
HOUSE_00261,931,1,3.5,1978,Downtown,1,No,420765.19
HOUSE_00262,1658,3,2.0,1974,WestEnd,2,No,364909.41
HOUSE_00263,1524,3,2.0,2010,Suburb,1,No,405474.37
HOUSE_00264,3966,3,2.5,1993,SouthHills,1,No,945928.46
HOUSE_00265,764,3,3.0,2001,WestEnd,2,No,268947.9
HOUSE_00266,1532,1,2.0,2022,WestEnd,0,No,315651.47
HOUSE_00267,1314,2,1.5,1978,SouthHills,1,Yes,494868.16
HOUSE_00268,4048,5,2.0,2008,SouthHills,1,No,1023244.55
HOUSE_00269,2728,5,3.0,2022,Northside,2,No,707352.11
HOUSE_00270,4441,5,3.5,2011,Suburb,1,No,830178.61
HOUSE_00271,3995,2,1.0,2015,SouthHills,2,Yes,955291.94
HOUSE_00272,1500,3,1.0,1980,Downtown,1,No,550114.21
HOUSE_00273,2667,3,3.5,1993,Northside,1,No,625050.75
HOUSE_00274,977,4,1.0,2010,Suburb,2,No,318497.9
HOUSE_00275,2713,5,2.0,1976,Downtown,1,No,840151.74
HOUSE_00276,2417,5,4.0,1977,Downtown,2,Yes,888557.83
HOUSE_00277,3113,3,1.0,1976,Suburb,1,No,563081.31
HOUSE_00278,3263,5,4.0,1961,Northside,1,No,770210.75
HOUSE_00279,1938,3,3.0,2010,Downtown,1,No,696605.3
HOUSE_00280,3186,3,4.0,1960,WestEnd,2,No,566396.87
HOUSE_00281,1127,3,3.0,2002,Suburb,2,No,349249.01
HOUSE_00282,3476,1,2.0,2016,Suburb,2,Yes,660370.73
HOUSE_00283,3143,1,3.5,1969,SouthHills,1,No,780308.42
HOUSE_00284,3980,1,1.5,1996,Northside,1,No,745179.99
HOUSE_00285,2224,1,2.0,2007,WestEnd,0,No,406441.02
HOUSE_00286,2186,2,1.0,2015,WestEnd,2,No,431944.16
HOUSE_00287,1285,4,2.0,1964,SouthHills,2,No,475944.39
HOUSE_00288,3998,4,3.0,2015,Downtown,1,No,1112803.92
HOUSE_00289,1074,3,2.0,2014,Downtown,1,No,482812.49
HOUSE_00290,2223,5,2.0,1971,WestEnd,0,Yes,453469.08
HOUSE_00291,3695,1,1.5,1995,Northside,3,No,755332.91
HOUSE_00292,792,4,3.0,1990,Downtown,2,No,515888.9
HOUSE_00293,4231,4,2.5,2014,Suburb,1,No,782515.92
HOUSE_00294,2300,1,2.5,1997,SouthHills,1,Yes,614469.79
HOUSE_00295,3068,2,3.0,2010,Northside,1,No,710441.62
HOUSE_00296,3781,2,2.5,1968,Downtown,2,No,1035220.52
HOUSE_00297,1613,4,1.0,2003,WestEnd,2,No,375785.22
HOUSE_00298,4074,2,2.5,1985,SouthHills,1,No,964995.3
HOUSE_00299,2045,1,1.0,1974,Downtown,2,No,617409.26
HOUSE_00300,2540,4,3.0,1975,WestEnd,1,No,506672.71
HOUSE_00301,4227,1,2.5,1972,Downtown,0,No,1056853.28
HOUSE_00302,2001,2,2.5,1984,SouthHills,2,No,612342.54
HOUSE_00303,2321,1,3.5,1989,Suburb,1,No,496318.17
HOUSE_00304,2261,2,4.0,2012,Suburb,3,No,509242.41
HOUSE_00305,2453,2,1.0,2015,WestEnd,1,No,416374.78
HOUSE_00306,2116,1,1.0,1966,Suburb,1,No,385650.78
HOUSE_00307,3664,2,2.0,2016,SouthHills,2,No,848239.27
HOUSE_00308,794,3,1.5,2014,WestEnd,1,No,251560.24
HOUSE_00309,2479,1,2.5,2011,Downtown,1,No,766862.52
HOUSE_00310,1658,3,3.5,1963,Northside,3,No,485227.23
HOUSE_00311,1830,1,1.5,2002,Downtown,1,No,592985.35
HOUSE_00312,2113,2,4.0,1999,SouthHills,1,No,656173.87
HOUSE_00313,2483,2,4.0,1997,WestEnd,2,Yes,518491.44
HOUSE_00314,4297,4,3.5,2016,Downtown,0,No,1196698.45
HOUSE_00315,4444,4,1.5,1989,WestEnd,1,No,695117.35
HOUSE_00316,2818,3,2.5,1969,Suburb,2,No,595506.44
HOUSE_00317,1363,2,4.0,1989,Northside,1,No,444461.16
HOUSE_00318,1668,4,3.5,1998,SouthHills,3,Yes,660580.55
HOUSE_00319,3334,2,1.0,1966,Downtown,1,No,853915.16
HOUSE_00320,4147,1,2.0,1995,Northside,2,No,816159.64
HOUSE_00321,3474,4,3.5,1994,SouthHills,1,No,882461.46
HOUSE_00322,3115,3,3.0,1983,SouthHills,1,No,816104.35
HOUSE_00323,2798,4,4.0,1998,Suburb,2,No,646235.16
HOUSE_00324,1866,2,4.0,1995,WestEnd,1,No,413023.78
HOUSE_00325,4190,5,2.5,2004,WestEnd,2,No,721211.13
HOUSE_00326,2271,5,2.5,1979,Northside,1,Yes,598406.21
HOUSE_00327,2223,2,3.0,2008,Suburb,2,No,509693.64
HOUSE_00328,1687,1,4.0,1991,SouthHills,1,No,510917.46
HOUSE_00329,3938,4,1.5,2018,Suburb,2,Yes,737833.55
HOUSE_00330,3007,5,2.0,1998,Suburb,2,Yes,673796.47
HOUSE_00331,3963,1,1.5,2008,Northside,0,Yes,801947.7
HOUSE_00332,1925,2,3.0,1985,WestEnd,1,No,396305.05
HOUSE_00333,1908,1,3.0,1985,Suburb,0,No,422857.42
HOUSE_00334,2905,2,2.0,1995,Suburb,1,No,571256.34
HOUSE_00335,4393,4,3.0,2002,Suburb,2,No,812144.11
HOUSE_00336,798,1,3.0,2021,Downtown,0,No,421380.51
HOUSE_00337,2988,4,4.0,1994,Suburb,3,No,655502.78
HOUSE_00338,2214,1,3.5,2002,Suburb,1,No,454986.27
HOUSE_00339,901,2,4.0,1994,SouthHills,3,No,455043.88
HOUSE_00340,1333,2,2.0,1971,Downtown,0,No,486402.85
HOUSE_00341,4280,1,2.5,1992,Suburb,3,No,749460.31
HOUSE_00342,4400,2,1.5,1995,Suburb,0,No,728058.66
HOUSE_00343,3867,3,2.5,1973,Northside,1,No,822447.58
HOUSE_00344,1445,3,2.5,1992,Northside,3,Yes,502630.14
HOUSE_00345,1189,4,3.5,2005,Downtown,1,No,581677.75
HOUSE_00346,1278,3,1.5,2004,SouthHills,0,No,415654.98
HOUSE_00347,3989,3,2.5,2004,Downtown,2,No,1099313.76
HOUSE_00348,3274,5,2.0,1983,Downtown,2,No,944452.04
HOUSE_00349,972,5,1.5,1974,Northside,1,No,373646.62
HOUSE_00350,1942,5,1.0,1990,Northside,0,No,488930.34
HOUSE_00351,1485,5,3.5,1976,SouthHills,2,No,597917.66
HOUSE_00352,4430,2,2.5,1971,Suburb,1,No,790747.94
HOUSE_00353,4103,4,3.0,2021,SouthHills,3,No,1048493.65
HOUSE_00354,1152,4,1.5,1981,Suburb,2,No,344666.99
HOUSE_00355,1875,3,1.0,1982,WestEnd,2,No,394678.49
HOUSE_00356,3094,4,3.0,2022,Northside,1,No,754069.97
HOUSE_00357,1515,3,1.0,1985,WestEnd,2,No,333276.91
HOUSE_00358,1113,4,2.5,1973,WestEnd,1,No,316299.78
HOUSE_00359,2250,1,3.0,1971,Northside,2,Yes,613486.64
HOUSE_00360,1130,1,2.5,2009,WestEnd,1,No,276651.33
HOUSE_00361,3126,4,3.0,1963,Downtown,2,No,917850.05
HOUSE_00362,3745,2,1.5,2018,Suburb,2,No,695738.85
HOUSE_00363,1594,3,4.0,2005,SouthHills,0,No,601348.82
HOUSE_00364,3175,4,2.0,2010,Northside,1,No,730839.89
HOUSE_00365,2646,3,4.0,2020,Downtown,1,No,833643.9
HOUSE_00366,1807,5,2.0,1972,SouthHills,1,No,589501.88
HOUSE_00367,891,4,4.0,2016,SouthHills,1,No,471475.93
HOUSE_00368,740,2,1.0,2021,SouthHills,1,No,353695.91
HOUSE_00369,2587,5,3.5,2014,WestEnd,2,No,517985.15
HOUSE_00370,2559,4,3.0,1977,WestEnd,2,Yes,496831.78
HOUSE_00371,2496,1,2.5,2002,WestEnd,0,No,432780.33
HOUSE_00372,2032,4,3.5,1987,WestEnd,2,No,481923.5
HOUSE_00373,4149,1,1.5,1997,Downtown,3,No,1039814.89
HOUSE_00374,835,1,1.5,2000,WestEnd,1,No,227048.78
HOUSE_00375,2513,4,1.5,2003,Northside,1,No,584503.53
HOUSE_00376,805,4,2.0,1978,SouthHills,1,Yes,428592.7
HOUSE_00377,1218,1,2.5,2005,Downtown,2,Yes,545815.08
HOUSE_00378,2641,3,1.5,2006,WestEnd,2,Yes,481598.58
HOUSE_00379,3561,5,1.5,2002,SouthHills,2,No,933854.14
HOUSE_00380,2265,2,4.0,1997,Downtown,0,No,701240.29
HOUSE_00381,825,4,1.0,2005,SouthHills,2,Yes,462126.15
HOUSE_00382,4128,5,3.0,1962,Downtown,1,No,1153028.44
HOUSE_00383,3147,5,3.0,1978,Suburb,1,No,648255.34
HOUSE_00384,2826,3,3.0,1979,Downtown,0,No,842326.0
HOUSE_00385,1088,5,3.5,1984,WestEnd,1,No,337916.02
HOUSE_00386,4350,4,4.0,1970,SouthHills,2,No,1044773.32
HOUSE_00387,2258,5,4.0,2020,SouthHills,2,No,760656.74
HOUSE_00388,2424,4,1.0,2015,SouthHills,3,No,675298.49
HOUSE_00389,2821,4,2.0,1976,Northside,1,Yes,681738.16
HOUSE_00390,1728,1,3.5,2020,Northside,3,No,497948.83
HOUSE_00391,2642,3,1.0,2019,WestEnd,2,No,500680.45
