customer_id,age,gender,tenure_months,contract_type,payment_method,tech_support,paperless_billing,num_support_tickets,monthly_charges,total_charges,churn
CUST_00079,21,Male,53,One year,Credit card,No,No,2,110.27,5921.11,No
CUST_00080,71,Male,42,Month-to-month,Credit card,Yes,No,1,26.01,1122.3,No
CUST_00081,46,Male,63,Month-to-month,Credit card,No,No,1,77.29,4833.7,No
CUST_00082,35,Female,27,Month-to-month,Electronic check,No,No,1,25.43,692.47,Yes
CUST_00083,43,Female,38,Month-to-month,Electronic check,Yes,Yes,1,104.91,,Yes
CUST_00084,61,Female,60,Month-to-month,Credit card,No,Yes,1,70.33,4172.84,No
CUST_00085,51,Female,7,Two year,Mailed check,No,No,1,83.59,565.91,Yes
CUST_00086,27,Female,5,Two year,Electronic check,Yes,Yes,0,99.0,484.71,No
CUST_00087,53,Male,45,One year,Bank transfer,No,Yes,3,34.28,1622.88,No
CUST_00088,31,Female,58,Month-to-month,Electronic check,Yes,No,1,23.67,1268.82,No
CUST_00089,48,Female,31,Month-to-month,Bank transfer,No,No,0,103.49,3268.48,No
CUST_00090,65,Female,23,One year,Credit card,Yes,No,3,49.92,1101.32,No
CUST_00091,32,Male,42,Month-to-month,Electronic check,No,No,1,32.25,1285.9,No
CUST_00092,25,Female,10,Month-to-month,Mailed check,Yes,No,2,64.5,704.0,Yes
CUST_00093,31,Female,32,Month-to-month,Electronic check,No,Yes,1,76.84,2495.47,No
CUST_00094,40,Male,53,Two year,Electronic check,Yes,No,2,22.94,1278.55,No
CUST_00095,74,Female,30,Month-to-month,Electronic check,No,Yes,1,46.12,1423.64,No
CUST_00096,57,Male,39,Month-to-month,Credit card,No,Yes,2,23.12,1004.67,No
CUST_00097,38,Male,31,One year,Mailed check,No,No,4,59.93,1885.77,No
CUST_00098,33,Male,2,Month-to-month,Electronic check,No,Yes,0,105.03,202.24,Yes
CUST_00099,62,Male,12,Month-to-month,Mailed check,No,Yes,1,113.35,1377.35,Yes
CUST_00100,35,Male,39,Month-to-month,Credit card,No,Yes,0,80.52,3202.45,No
CUST_00101,64,Female,66,Month-to-month,Bank transfer,No,No,0,35.36,2294.79,No
CUST_00102,70,Male,13,One year,Electronic check,Yes,Yes,2,106.06,1346.19,No
CUST_00103,41,Male,46,Month-to-month,Mailed check,No,No,0,69.04,3160.39,No
CUST_00104,43,Female,27,Month-to-month,Mailed check,No,Yes,1,34.61,829.24,Yes
CUST_00105,42,Male,17,Two year,Credit card,No,No,0,107.56,1835.42,No
CUST_00106,62,Female,60,Two year,Electronic check,No,No,0,91.96,5423.29,No
CUST_00107,58,Female,64,Two year,Bank transfer,No,Yes,3,89.51,5731.29,No
CUST_00108,46,Female,35,Month-to-month,Mailed check,Yes,Yes,3,87.37,3101.21,No
CUST_00109,32,Male,70,Month-to-month,Electronic check,No,Yes,1,39.03,2708.26,No
CUST_00110,62,Male,30,Two year,Bank transfer,No,No,3,40.05,1285.36,No
CUST_00111,18,Male,71,One year,Mailed check,No,No,1,85.39,5989.66,No
CUST_00112,42,Female,63,Month-to-month,Mailed check,No,No,5,40.87,2634.37,No
CUST_00113,24,Male,28,Month-to-month,Bank transfer,No,Yes,1,61.67,1760.52,No
CUST_00114,26,Male,60,Month-to-month,Bank transfer,No,No,3,94.29,5571.6,No
CUST_00115,41,Male,37,Two year,Credit card,No,No,1,94.48,,No
CUST_00116,18,Female,22,Month-to-month,Electronic check,No,No,2,63.06,1384.13,No
CUST_00117,61,Female,68,Month-to-month,Electronic check,Yes,No,1,95.26,6433.81,No
CUST_00118,25,Male,20,Month-to-month,Credit card,No,Yes,2,99.67,1923.05,No
CUST_00119,41,Male,68,One year,Mailed check,No,Yes,0,82.2,5578.6,No
CUST_00120,28,Male,64,Two year,Bank transfer,Yes,No,2,41.7,2662.43,No
CUST_00121,68,Male,17,Month-to-month,Bank transfer,Yes,No,1,46.03,787.64,No
CUST_00122,34,Female,12,One year,Bank transfer,No,Yes,1,49.91,584.03,No
CUST_00123,25,Female,22,Two year,Mailed check,Yes,Yes,2,31.1,715.86,No
CUST_00124,52,Female,17,Month-to-month,Bank transfer,No,Yes,1,45.95,761.77,No
CUST_00125,52,Female,10,Month-to-month,Bank transfer,No,Yes,2,39.9,302.25,Yes
CUST_00126,50,Male,65,Month-to-month,Credit card,No,Yes,0,63.26,4104.43,No
CUST_00127,22,Male,22,One year,Mailed check,No,No,0,106.3,2220.23,No
CUST_00128,59,Male,50,One year,Electronic check,Yes,No,2,29.93,1514.19,No
CUST_00129,56,Female,14,One year,Credit card,No,Yes,1,88.43,1189.05,No
CUST_00130,58,Male,64,One year,Credit card,No,Yes,1,85.29,5466.73,No
CUST_00131,45,Female,47,Month-to-month,Electronic check,No,Yes,4,29.1,1433.4,No
CUST_00132,24,Female,29,Two year,Credit card,Yes,Yes,2,107.64,3074.12,No
CUST_00133,26,Male,36,Month-to-month,Mailed check,No,No,1,74.0,2717.06,Yes
CUST_00134,25,Male,52,Month-to-month,Bank transfer,Yes,No,1,54.55,2814.93,No
CUST_00135,29,Male,7,One year,Mailed check,Yes,Yes,1,91.87,730.75,Yes
CUST_00136,51,Female,29,One year,Electronic check,Yes,No,2,44.45,1270.79,No
CUST_00137,50,Male,11,Month-to-month,Electronic check,Yes,No,1,85.88,902.66,No
CUST_00138,65,Female,33,Two year,Credit card,No,No,3,23.77,818.77,No
CUST_00139,72,Male,6,Two year,Mailed check,Yes,Yes,0,99.74,576.65,No
CUST_00140,40,Female,32,Month-to-month,Mailed check,No,No,0,62.58,,No
CUST_00141,41,Female,51,Two year,Electronic check,No,Yes,4,80.49,4081.1,No
CUST_00142,54,Male,58,Month-to-month,Mailed check,No,Yes,2,41.02,2376.93,No
CUST_00143,52,Female,26,Month-to-month,Electronic check,Yes,Yes,2,84.32,2259.43,No
CUST_00144,61,Female,46,Month-to-month,Mailed check,No,Yes,1,93.36,4197.86,No
CUST_00145,57,Male,29,Two year,Mailed check,No,Yes,3,64.96,1884.99,No
CUST_00146,39,Female,4,One year,Mailed check,No,Yes,3,78.68,,No
CUST_00147,44,Male,13,Month-to-month,Electronic check,Yes,Yes,2,63.35,833.22,Yes
CUST_00148,52,Female,39,Month-to-month,Credit card,No,No,0,104.94,4158.15,No
CUST_00149,18,Male,15,One year,Mailed check,No,No,0,67.3,1005.78,No
CUST_00150,52,Male,29,Month-to-month,Electronic check,No,Yes,0,99.97,2889.9,Yes
CUST_00151,54,Female,29,Two year,Electronic check,Yes,No,1,96.13,2817.39,No
CUST_00152,64,Female,32,Two year,Mailed check,No,No,0,59.0,1892.97,No
CUST_00153,31,Female,2,Month-to-month,Mailed check,Yes,No,2,41.86,64.2,No
CUST_00154,20,Female,47,Two year,Credit card,Yes,Yes,0,58.58,2779.07,No
CUST_00155,18,Female,22,Month-to-month,Electronic check,No,No,4,98.49,2134.15,No
CUST_00156,22,Male,27,Two year,Electronic check,Yes,No,0,41.63,1093.45,No
CUST_00157,43,Female,67,One year,Bank transfer,Yes,No,0,69.82,4651.54,No
CUST_00158,72,Male,56,One year,Electronic check,Yes,Yes,0,96.58,5476.13,No
CUST_00159,31,Male,21,Month-to-month,Credit card,No,Yes,2,53.58,964.13,No
CUST_00160,56,Female,47,Two year,Bank transfer,No,No,0,81.01,3827.25,No
CUST_00161,44,Male,59,Month-to-month,Bank transfer,No,Yes,2,43.33,2558.18,No
CUST_00162,26,Male,6,Month-to-month,Bank transfer,No,Yes,1,30.38,98.24,Yes
CUST_00163,32,Male,19,Month-to-month,Mailed check,Yes,Yes,2,95.47,1829.42,No
CUST_00164,32,Male,57,One year,Mailed check,No,No,1,29.4,1699.59,No
CUST_00165,43,Female,69,Month-to-month,Electronic check,No,No,2,45.78,3188.3,No
CUST_00166,59,Male,3,One year,Bank transfer,Yes,Yes,3,101.24,171.13,Yes
CUST_00167,30,Female,1,Two year,Credit card,No,No,0,52.91,121.23,No
CUST_00168,68,Female,58,Month-to-month,Mailed check,No,Yes,3,112.44,6484.63,No
CUST_00169,49,Male,38,One year,Credit card,Yes,No,3,113.07,4330.99,No
CUST_00170,56,Female,15,Month-to-month,Credit card,Yes,No,2,45.49,719.4,No
CUST_00171,66,Female,34,Two year,Mailed check,Yes,No,1,23.89,768.43,No
CUST_00172,69,Female,61,Two year,Mailed check,Yes,No,1,86.98,5338.8,No
CUST_00173,49,Male,35,Month-to-month,Mailed check,No,Yes,3,62.84,2180.13,No
CUST_00174,21,Female,64,One year,Mailed check,No,No,2,29.57,1788.91,Yes
CUST_00175,47,Female,25,Month-to-month,Bank transfer,No,Yes,1,87.21,2238.64,No
CUST_00176,54,Female,24,Month-to-month,Bank transfer,No,No,2,22.96,512.29,Yes
CUST_00177,40,Male,12,Two year,Bank transfer,Yes,No,0,102.67,1189.32,No
CUST_00178,56,Female,18,Month-to-month,Bank transfer,No,No,0,33.17,576.91,No
CUST_00179,62,Male,15,Month-to-month,Electronic check,No,Yes,3,32.09,494.96,No
CUST_00180,32,Male,27,Month-to-month,Bank transfer,No,No,1,36.69,987.77,No
CUST_00181,60,Male,60,Two year,Mailed check,No,Yes,2,111.23,6701.2,No
CUST_00182,46,Male,46,Month-to-month,Credit card,No,Yes,1,85.85,,No
CUST_00183,53,Male,17,Month-to-month,Bank transfer,No,No,1,96.13,1597.09,No
CUST_00184,30,Male,53,One year,Electronic check,No,Yes,1,57.78,3056.54,No
CUST_00185,49,Female,8,Two year,Mailed check,Yes,No,4,51.95,510.49,Yes
CUST_00186,24,Male,27,Month-to-month,Credit card,Yes,Yes,0,42.28,1135.87,Yes
CUST_00187,68,Female,46,Month-to-month,Credit card,Yes,Yes,1,65.66,3074.62,No
CUST_00188,39,Female,50,Month-to-month,Bank transfer,Yes,No,3,72.42,3622.93,Yes
CUST_00189,45,Male,71,Month-to-month,Credit card,No,Yes,0,80.02,5657.24,No
CUST_00190,19,Female,3,Month-to-month,Bank transfer,No,Yes,1,44.43,120.95,Yes
CUST_00191,59,Female,64,One year,Bank transfer,No,No,1,110.12,7039.26,No
CUST_00192,62,Female,44,One year,Mailed check,No,Yes,0,36.13,1619.9,No
CUST_00193,74,Female,53,One year,Mailed check,No,No,3,111.74,5990.95,No
CUST_00194,70,Male,24,Month-to-month,Electronic check,Yes,Yes,0,21.41,531.82,No
CUST_00195,23,Female,60,Two year,Mailed check,Yes,No,2,65.71,4001.95,Yes
CUST_00196,45,Male,3,Month-to-month,Mailed check,No,No,0,51.67,106.77,Yes
CUST_00197,45,Female,20,Two year,Bank transfer,No,No,2,62.67,1232.67,No
CUST_00198,61,Female,46,One year,Mailed check,No,Yes,1,74.21,3377.44,No
CUST_00199,61,Male,15,Month-to-month,Bank transfer,Yes,No,3,61.38,936.42,No
CUST_00200,37,Female,25,One year,Bank transfer,Yes,No,3,59.41,1467.3,Yes
CUST_00201,47,Female,71,Month-to-month,Mailed check,No,No,2,89.61,6398.8,Yes
CUST_00202,28,Female,17,One year,Electronic check,Yes,Yes,3,85.16,1401.17,No
CUST_00203,72,Male,9,Month-to-month,Electronic check,Yes,No,2,99.16,894.59,Yes
CUST_00204,45,Female,38,Month-to-month,Credit card,No,No,1,43.75,1696.84,No
CUST_00205,42,Male,48,Two year,Credit card,Yes,Yes,0,77.91,3636.41,No
CUST_00206,56,Female,60,Month-to-month,Mailed check,No,Yes,2,75.59,4641.48,No
CUST_00207,50,Male,63,Two year,Electronic check,Yes,No,0,55.13,3459.03,No
CUST_00208,18,Male,2,Month-to-month,Bank transfer,Yes,Yes,1,66.18,66.18,No
CUST_00209,74,Female,11,One year,Credit card,No,No,0,49.81,555.81,No
CUST_00210,44,Female,64,One year,Bank transfer,No,No,0,33.48,2144.39,No
CUST_00211,74,Male,21,Month-to-month,Credit card,No,No,4,40.31,842.42,No
CUST_00212,69,Male,18,Month-to-month,Mailed check,No,Yes,2,30.02,589.92,No
CUST_00213,30,Female,64,Month-to-month,Electronic check,Yes,Yes,0,84.89,5470.33,No
CUST_00214,58,Male,38,Month-to-month,Credit card,No,No,3,82.77,3160.15,Yes
CUST_00215,20,Female,32,Month-to-month,Electronic check,Yes,Yes,0,110.31,3552.43,No
CUST_00216,56,Female,11,One year,Bank transfer,No,No,1,89.32,977.3,Yes
CUST_00217,23,Female,45,Two year,Mailed check,No,Yes,2,24.94,1211.07,No
CUST_00218,25,Female,33,Two year,Electronic check,No,Yes,2,104.0,3358.04,Yes
CUST_00219,44,Male,41,One year,Mailed check,No,Yes,1,101.95,4186.93,No
CUST_00220,26,Female,8,One year,Electronic check,Yes,Yes,4,62.12,500.21,Yes
CUST_00221,54,Male,11,One year,Bank transfer,Yes,No,1,75.66,872.92,No
CUST_00222,50,Female,51,Month-to-month,Bank transfer,No,Yes,2,112.73,5707.04,Yes
CUST_00223,68,Male,41,Two year,Mailed check,No,Yes,3,70.57,2806.19,No
CUST_00224,59,Female,17,One year,Bank transfer,No,Yes,0,106.01,1810.01,No
CUST_00225,61,Male,46,One year,Credit card,Yes,Yes,2,27.89,1297.0,No
CUST_00226,41,Male,32,Month-to-month,Electronic check,Yes,Yes,1,38.15,1295.28,No
CUST_00227,32,Female,54,Month-to-month,Bank transfer,Yes,No,1,61.87,3277.46,No
CUST_00228,71,Female,20,Month-to-month,Credit card,No,Yes,1,75.55,1568.73,Yes
CUST_00229,49,Female,33,Two year,Mailed check,No,Yes,1,97.54,3337.19,No
CUST_00230,49,Female,40,Month-to-month,Credit card,No,Yes,2,113.88,4536.31,Yes
CUST_00231,41,Male,32,Month-to-month,Mailed check,Yes,No,2,56.94,1757.53,No
CUST_00232,58,Female,2,Two year,Mailed check,No,Yes,1,24.5,28.65,No
CUST_00233,69,Male,33,Month-to-month,Electronic check,No,Yes,2,96.11,3172.33,Yes
CUST_00234,66,Male,30,Month-to-month,Electronic check,Yes,No,3,77.42,2350.79,No
CUST_00235,66,Female,33,Month-to-month,Credit card,No,Yes,2,38.86,1252.81,No
CUST_00236,69,Male,26,One year,Electronic check,No,Yes,2,67.01,1820.02,No
CUST_00237,29,Male,22,Two year,Electronic check,No,Yes,3,90.52,1935.71,No
CUST_00238,56,Male,66,Month-to-month,Electronic check,No,No,1,93.19,6063.58,No
CUST_00239,19,Male,38,Two year,Credit card,Yes,Yes,1,67.46,2618.82,No
CUST_00240,20,Female,46,Month-to-month,Bank transfer,Yes,No,2,49.0,2140.27,No
CUST_00241,66,Female,15,Two year,Electronic check,No,No,0,112.51,1677.44,No
CUST_00242,54,Female,44,One year,Electronic check,Yes,Yes,2,83.02,3808.76,Yes
CUST_00243,66,Female,49,Two year,Credit card,No,Yes,0,58.78,2879.62,No
CUST_00244,73,Male,61,Month-to-month,Bank transfer,No,Yes,1,46.64,2789.0,No
CUST_00245,34,Male,67,Two year,Electronic check,No,No,0,89.45,5990.28,No
CUST_00246,66,Female,6,One year,Mailed check,No,Yes,1,43.01,255.52,Yes
CUST_00247,19,Female,9,Month-to-month,Credit card,Yes,Yes,1,36.31,334.82,Yes
CUST_00248,19,Female,6,Two year,Electronic check,Yes,Yes,2,70.33,455.09,No
CUST_00249,45,Male,32,Month-to-month,Electronic check,Yes,No,1,47.55,1469.64,No
CUST_00250,71,Female,41,Two year,Mailed check,No,Yes,2,79.75,3354.13,No
CUST_00251,40,Female,8,Month-to-month,Mailed check,Yes,No,1,31.2,261.86,No
CUST_00252,54,Female,50,One year,Credit card,Yes,Yes,2,82.22,4147.34,No
CUST_00253,49,Male,62,Month-to-month,Credit card,No,Yes,1,46.91,2877.01,No
CUST_00254,50,Male,62,Month-to-month,Mailed check,No,Yes,1,20.02,1305.56,No
CUST_00255,18,Male,7,Month-to-month,Credit card,Yes,Yes,1,32.06,,No
CUST_00256,36,Male,4,Month-to-month,Mailed check,No,Yes,2,108.69,448.64,Yes
CUST_00257,19,Male,6,Month-to-month,Electronic check,No,Yes,2,102.4,567.74,Yes
CUST_00258,70,Male,58,Month-to-month,Mailed check,Yes,No,0,42.19,2397.17,No
CUST_00259,61,Male,22,One year,Mailed check,Yes,No,1,93.95,2101.31,No
CUST_00260,43,Male,26,Month-to-month,Bank transfer,Yes,No,0,77.81,2000.88,No
CUST_00261,49,Female,3,Month-to-month,Mailed check,No,Yes,4,112.24,294.03,No
CUST_00262,23,Female,41,One year,Mailed check,Yes,Yes,1,55.49,2242.93,No
CUST_00263,49,Male,60,Month-to-month,Bank transfer,No,Yes,2,84.74,5119.35,No
CUST_00264,72,Male,14,Two year,Credit card,No,No,1,26.04,333.11,No
CUST_00265,21,Female,12,Two year,Bank transfer,No,No,0,57.64,685.8,No
CUST_00266,72,Male,12,One year,Electronic check,Yes,Yes,0,111.56,1339.47,No
CUST_00267,28,Male,13,One year,Bank transfer,No,Yes,4,71.2,829.73,No
CUST_00268,73,Male,25,Two year,Electronic check,No,Yes,0,47.35,1110.19,No
CUST_00269,34,Female,45,Month-to-month,Credit card,No,Yes,1,31.43,1431.16,No
CUST_00270,55,Female,19,Month-to-month,Bank transfer,No,Yes,2,86.84,1613.11,Yes
CUST_00271,41,Female,55,Month-to-month,Bank transfer,No,No,0,81.26,4522.14,No
CUST_00272,22,Female,45,One year,Credit card,No,No,0,55.52,2546.74,No
CUST_00273,69,Female,8,Month-to-month,Electronic check,No,Yes,3,110.34,918.68,Yes
CUST_00274,51,Male,53,One year,Bank transfer,No,Yes,1,22.11,1262.82,No
CUST_00275,23,Female,55,Two year,Electronic check,Yes,No,0,48.85,2682.6,No
CUST_00276,39,Male,32,Two year,Bank transfer,Yes,Yes,2,107.5,3472.44,No
CUST_00277,28,Male,51,Month-to-month,Mailed check,Yes,Yes,2,50.49,2545.77,Yes
CUST_00278,65,Female,44,Month-to-month,Bank transfer,No,Yes,3,43.96,2056.86,No
CUST_00279,33,Female,70,Two year,Credit card,No,Yes,0,70.75,5051.68,No
CUST_00280,50,Male,18,One year,Credit card,No,Yes,0,98.26,1769.27,No
CUST_00281,26,Male,22,Month-to-month,Electronic check,No,No,0,29.8,674.93,Yes
CUST_00282,23,Male,37,Month-to-month,Bank transfer,No,Yes,2,109.59,4122.79,Yes
CUST_00283,33,Female,56,Two year,Electronic check,No,Yes,1,95.53,5342.32,No
CUST_00284,46,Female,59,One year,Electronic check,Yes,No,1,37.22,2163.15,No
CUST_00285,20,Female,3,Two year,Mailed check,No,Yes,1,87.64,306.62,No
CUST_00286,37,Female,28,Two year,Mailed check,Yes,No,1,56.57,1587.88,No
CUST_00287,53,Female,35,One year,Credit card,Yes,No,1,58.22,2046.85,No
CUST_00288,36,Male,61,Month-to-month,Electronic check,Yes,Yes,0,94.41,5717.3,No
CUST_00289,43,Female,54,Month-to-month,Credit card,Yes,No,0,111.46,5932.96,No
CUST_00290,20,Male,63,Month-to-month,Bank transfer,No,Yes,1,32.03,2029.7,No
CUST_00291,36,Male,7,Month-to-month,Electronic check,No,No,3,59.96,464.97,Yes
CUST_00292,37,Male,49,One year,Electronic check,Yes,Yes,0,65.69,3207.52,No
CUST_00293,49,Female,31,One year,Bank transfer,No,No,0,55.75,1800.07,No
CUST_00294,24,Female,58,Two year,Bank transfer,No,No,1,54.5,3125.8,No
CUST_00295,69,Female,61,Month-to-month,Credit card,Yes,Yes,0,24.97,1470.43,No
CUST_00296,58,Male,24,One year,Credit card,No,Yes,0,85.13,2039.76,No
CUST_00297,50,Male,20,One year,Bank transfer,Yes,No,1,61.44,1224.67,No
CUST_00298,57,Male,37,One year,Credit card,No,No,2,38.51,1463.37,No
CUST_00299,56,Male,4,One year,Bank transfer,No,Yes,0,97.52,351.33,No
CUST_00300,35,Male,20,Month-to-month,Electronic check,Yes,No,0,96.24,1993.2,No
CUST_00301,57,Male,60,Month-to-month,Electronic check,Yes,Yes,5,66.21,4070.95,Yes
CUST_00302,18,Female,24,Month-to-month,Mailed check,No,Yes,1,48.35,1158.44,No
CUST_00303,28,Female,50,Month-to-month,Electronic check,No,Yes,0,80.62,4093.49,Yes
CUST_00304,45,Female,49,Month-to-month,Bank transfer,Yes,Yes,0,47.37,2268.31,No
CUST_00305,74,Female,51,One year,Credit card,No,No,3,42.42,2217.18,No
CUST_00306,42,Male,36,Two year,Mailed check,No,Yes,0,89.4,3270.76,No
CUST_00307,67,Male,66,One year,Credit card,No,No,2,23.83,1615.95,No
CUST_00308,40,Female,34,One year,Bank transfer,No,Yes,1,29.0,985.22,No
CUST_00309,48,Male,36,Month-to-month,Electronic check,No,Yes,1,20.64,595.33,No
CUST_00310,47,Female,6,One year,Mailed check,No,Yes,1,34.53,175.09,No
CUST_00311,59,Female,39,Month-to-month,Bank transfer,No,Yes,2,26.55,1004.15,No
CUST_00312,52,Female,42,Month-to-month,Mailed check,No,Yes,1,114.6,4764.29,Yes
